# Constructed from biom file
#OTU ID	SRR1208066	SRR1208061	SRR1208068	SRR1208069	SRR1208070	SRR1208090	SRR1208085	SRR1208076	SRR1208072	SRR1208063	SRR1208091	SRR1208088	SRR1208080	SRR1208074	SRR1208073	SRR1208081	SRR1208083	SRR1208075	SRR1208064	SRR1208062	SRR1208065	SRR1208067	SRR1208084	SRR1208079	SRR1208071	SRR1208087	SRR1208086	SRR1208082	SRR1208078	SRR1208077	SRR1208092	SRR1208089
K01365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K01364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K01361	1.0	2.0	1.0	1.0	0.0	0.0	4.0	0.0	1.0	0.0	1.0	1.0	2.0	0.0	6.0	0.0	16.0	0.0	0.0	3.0	0.0	0.0	4.0	0.0	8.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
K01360	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K01362	380625.0	564527.0	436361.0	161143.0	60390.0	586231.0	368259.0	68794.0	373650.0	57675.0	159260.0	465771.0	217793.0	48877.0	233745.0	162044.0	612415.0	149067.0	253782.0	141216.0	135404.0	269549.0	213484.0	124641.0	85390.0	403979.0	105398.0	391943.0	103463.0	99819.0	456754.0	85262.0
K02249	2.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
K05841	2990.0	524.0	1167.0	3744.0	446.0	70.0	118.0	551.0	2835.0	355.0	20.0	308.0	237.0	599.0	3786.0	55.0	57.0	186.0	1189.0	1451.0	177.0	1090.0	161.0	99.0	2420.0	194.0	2.0	33.0	79.0	3.0	22.0	25.0
K05844	46741.0	25129.0	23219.0	13719.0	3741.0	13240.0	24514.0	7102.0	30870.0	1880.0	3088.0	13878.0	6921.0	3930.0	25073.0	8055.0	21961.0	5078.0	15561.0	14544.0	4670.0	16785.0	4863.0	4653.0	3648.0	22594.0	2262.0	20013.0	5989.0	5857.0	22162.0	6903.0
K05845	110638.0	95214.0	109707.0	63148.0	8550.0	235483.0	53858.0	18009.0	63024.0	30488.0	30724.0	79809.0	34962.0	23070.0	60766.0	24658.0	112891.0	24560.0	57538.0	20447.0	23357.0	31599.0	35758.0	37465.0	24137.0	74268.0	14762.0	69122.0	18786.0	26543.0	151568.0	20631.0
K05846	210002.0	169525.0	185576.0	100539.0	25913.0	369263.0	120836.0	42100.0	148478.0	43322.0	47656.0	121742.0	56806.0	38780.0	125713.0	53068.0	241549.0	44128.0	125336.0	68961.0	39094.0	80757.0	53569.0	61312.0	44749.0	126053.0	31305.0	148732.0	41355.0	49256.0	255597.0	44625.0
K05847	147827.0	113824.0	126348.0	72677.0	11422.0	113322.0	54077.0	24836.0	90235.0	28303.0	20443.0	79760.0	36234.0	27068.0	79029.0	26344.0	116274.0	29557.0	70691.0	32728.0	28258.0	44752.0	37258.0	25664.0	26627.0	71798.0	12028.0	62428.0	18508.0	20484.0	151020.0	22720.0
K00508	212485.0	36752.0	131708.0	99196.0	11503.0	195901.0	40338.0	35615.0	14181.0	54646.0	21218.0	49933.0	13673.0	57915.0	56893.0	28300.0	68723.0	14071.0	89068.0	22032.0	10395.0	30007.0	19148.0	37117.0	12970.0	39314.0	10924.0	61161.0	20006.0	19921.0	42397.0	9451.0
K00500	77007.0	77624.0	62197.0	29962.0	4899.0	109940.0	82632.0	10648.0	71985.0	6484.0	17815.0	47201.0	27934.0	6918.0	44492.0	32761.0	153786.0	17470.0	35054.0	22558.0	14311.0	20912.0	16995.0	14995.0	9934.0	58799.0	32434.0	67912.0	20723.0	23021.0	77960.0	13750.0
K00507	184663.0	178339.0	165439.0	80602.0	23822.0	110940.0	106701.0	35556.0	184618.0	22716.0	44738.0	83029.0	42291.0	23330.0	126995.0	36930.0	185386.0	41347.0	106373.0	70529.0	37746.0	99241.0	28934.0	35103.0	38730.0	72102.0	35764.0	82016.0	27013.0	24906.0	89134.0	21686.0
K00504	223.0	906.0	221.0	162.0	19.0	841.0	81.0	8.0	314.0	22.0	108.0	664.0	497.0	5.0	569.0	1382.0	6.0	263.0	37.0	29.0	125.0	115.0	236.0	206.0	26.0	412.0	6.0	112.0	19.0	3.0	415.0	15.0
K00505	5791.0	9175.0	9647.0	7191.0	698.0	543.0	1468.0	1232.0	9844.0	660.0	186.0	1866.0	825.0	588.0	7926.0	503.0	603.0	1256.0	5199.0	3161.0	2269.0	2413.0	562.0	238.0	2642.0	441.0	26.0	291.0	243.0	60.0	249.0	244.0
K12521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K01101	4639.0	5245.0	7544.0	2872.0	875.0	554.0	1636.0	397.0	3897.0	1721.0	279.0	1123.0	1124.0	159.0	4647.0	804.0	1548.0	1243.0	2862.0	612.0	1339.0	725.0	634.0	344.0	1984.0	853.0	386.0	799.0	836.0	163.0	559.0	199.0
K01103	243.0	1265.0	746.0	87.0	8.0	1271.0	8681.0	35.0	209.0	144.0	726.0	1512.0	446.0	60.0	82.0	81.0	622.0	218.0	179.0	184.0	24.0	528.0	196.0	278.0	789.0	478.0	519.0	767.0	360.0	263.0	664.0	111.0
K12520	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K01104	344620.0	238540.0	278335.0	170489.0	44605.0	463173.0	180792.0	71525.0	226995.0	62519.0	59632.0	138029.0	65909.0	70492.0	190244.0	88549.0	356382.0	60312.0	209383.0	112768.0	53036.0	156278.0	51699.0	78345.0	68875.0	156048.0	61392.0	214876.0	60752.0	59902.0	201613.0	43511.0
K05592	148430.0	102086.0	117353.0	57150.0	10822.0	133264.0	81070.0	21963.0	62224.0	28114.0	23921.0	97938.0	34818.0	25493.0	57895.0	38730.0	229349.0	26045.0	61037.0	27649.0	25049.0	51649.0	39578.0	28269.0	18689.0	91538.0	37953.0	74006.0	23084.0	28122.0	143199.0	24825.0
K05593	6294.0	4867.0	5945.0	2654.0	869.0	9158.0	7815.0	522.0	3264.0	1709.0	669.0	3722.0	1251.0	286.0	3650.0	3847.0	6210.0	940.0	2773.0	1077.0	1149.0	740.0	1219.0	1215.0	1824.0	3331.0	1189.0	5492.0	2018.0	336.0	7703.0	1575.0
K05590	419.0	42.0	20.0	8.0	3.0	141.0	414.0	2.0	8.0	4.0	2.0	354.0	74.0	39.0	6.0	40.0	771.0	10.0	9.0	30.0	1.0	5.0	45.0	12.0	82.0	12.0	3.0	198.0	70.0	52.0	18.0	813.0
K05591	61974.0	17851.0	21160.0	11922.0	2960.0	83793.0	67768.0	8240.0	27164.0	2554.0	13852.0	31227.0	14614.0	5587.0	19567.0	22534.0	45414.0	4370.0	18228.0	17692.0	3846.0	17251.0	12519.0	11333.0	3563.0	35566.0	13214.0	58485.0	18819.0	11147.0	34906.0	17231.0
K05596	120618.0	50910.0	67357.0	56714.0	15929.0	187443.0	74179.0	27403.0	55321.0	22791.0	23960.0	57549.0	19287.0	30609.0	50089.0	27689.0	128086.0	15202.0	70919.0	36870.0	11529.0	41292.0	16752.0	27302.0	15905.0	54043.0	21429.0	81160.0	25171.0	15475.0	92749.0	28284.0
K05597	13333.0	3035.0	2513.0	879.0	170.0	17865.0	21645.0	552.0	913.0	385.0	5167.0	12104.0	9412.0	573.0	134.0	10572.0	12665.0	481.0	2888.0	1996.0	180.0	2407.0	6239.0	5934.0	1176.0	20513.0	3139.0	18394.0	7514.0	1725.0	10802.0	3719.0
K05594	312.0	29.0	13.0	4.0	2.0	128.0	275.0	2.0	5.0	4.0	2.0	124.0	56.0	36.0	4.0	29.0	663.0	8.0	4.0	25.0	0.0	4.0	17.0	11.0	14.0	10.0	3.0	169.0	58.0	46.0	15.0	687.0
K05595	145877.0	224653.0	150208.0	78841.0	30379.0	134619.0	121918.0	36367.0	179555.0	17655.0	48205.0	107686.0	51092.0	25163.0	106262.0	42980.0	229971.0	53955.0	120394.0	64814.0	49072.0	101339.0	43623.0	38702.0	29954.0	106889.0	43756.0	113374.0	28067.0	26154.0	145190.0	28102.0
K05599	711.0	52.0	16.0	88.0	6.0	337.0	1298.0	18.0	102.0	17.0	6.0	297.0	29.0	11.0	3.0	171.0	148.0	4.0	518.0	47.0	2.0	9.0	56.0	6.0	32.0	54.0	4.0	123.0	161.0	81.0	4.0	184.0
K11964	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	968.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	23.0	21.0	0.0	4.0	0.0	378.0	0.0
K11962	4.0	2.0	16.0	1.0	0.0	0.0	0.0	3.0	3.0	2.0	0.0	18.0	2.0	5.0	4.0	28.0	0.0	0.0	8.0	2.0	0.0	4.0	0.0	3.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K14540	17965.0	3224.0	3271.0	1666.0	266.0	68735.0	42380.0	775.0	1926.0	648.0	31785.0	32669.0	13476.0	828.0	270.0	14598.0	21935.0	1051.0	2893.0	2780.0	309.0	3149.0	8361.0	21193.0	797.0	28700.0	7228.0	56223.0	11430.0	3911.0	19218.0	6065.0
K12529	58226.0	3229.0	23309.0	29491.0	2074.0	36.0	48.0	10653.0	45.0	14524.0	57.0	6967.0	557.0	18487.0	12754.0	22.0	31.0	2656.0	19674.0	363.0	527.0	90.0	470.0	3260.0	196.0	38.0	12.0	114.0	16.0	28.0	20.0	10.0
K12528	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K06353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K02456	190304.0	296945.0	201756.0	98730.0	34056.0	208372.0	246125.0	42775.0	246932.0	19458.0	131741.0	147403.0	71254.0	28734.0	146753.0	48342.0	222272.0	73533.0	138798.0	78131.0	61220.0	112620.0	40645.0	84163.0	33826.0	91699.0	38750.0	215785.0	25936.0	30188.0	82354.0	27856.0
K02457	175948.0	134013.0	114528.0	70634.0	20821.0	100661.0	82621.0	33687.0	98412.0	25528.0	24129.0	99198.0	44624.0	34035.0	74726.0	32631.0	156339.0	38124.0	88520.0	43135.0	33611.0	72731.0	50922.0	20069.0	13659.0	66546.0	27647.0	60309.0	21909.0	21612.0	59515.0	16332.0
K02454	178584.0	153827.0	113523.0	54397.0	21479.0	224283.0	229800.0	30529.0	133084.0	12806.0	98020.0	140714.0	56528.0	20491.0	83928.0	52825.0	231783.0	38491.0	85154.0	59747.0	34744.0	92694.0	44443.0	65250.0	19294.0	92452.0	47040.0	205106.0	37568.0	33062.0	98031.0	33077.0
K02455	113852.0	118609.0	85895.0	40783.0	17775.0	140036.0	133981.0	22858.0	99848.0	10344.0	64736.0	97907.0	40078.0	15662.0	61102.0	33846.0	183785.0	30857.0	66443.0	43027.0	27175.0	66912.0	35193.0	42260.0	14693.0	62929.0	32361.0	115194.0	22582.0	24280.0	64648.0	20439.0
K02452	54910.0	49698.0	32215.0	21870.0	12640.0	84561.0	67352.0	14860.0	50773.0	5987.0	14063.0	31916.0	14519.0	10606.0	32856.0	18295.0	147555.0	13222.0	42466.0	27155.0	9367.0	35930.0	10373.0	12094.0	7968.0	31266.0	25672.0	49897.0	15056.0	16395.0	45409.0	10334.0
K02453	152600.0	245668.0	167463.0	76070.0	22616.0	157069.0	166795.0	27696.0	187447.0	15616.0	90364.0	148249.0	69697.0	18352.0	109248.0	43850.0	191382.0	61210.0	94796.0	52822.0	54338.0	84907.0	56198.0	56553.0	25720.0	86968.0	34172.0	141726.0	24770.0	25213.0	73816.0	21698.0
K02450	10625.0	15661.0	4949.0	2686.0	803.0	51081.0	22805.0	455.0	6127.0	603.0	6753.0	14040.0	3580.0	356.0	1487.0	3119.0	17287.0	2387.0	1858.0	1317.0	4119.0	13711.0	2821.0	5142.0	1241.0	11001.0	4785.0	17115.0	4615.0	2937.0	12252.0	3375.0
K02103	168.0	1162.0	424.0	123.0	58.0	76.0	272.0	19.0	543.0	29.0	51.0	550.0	169.0	6.0	325.0	187.0	280.0	332.0	55.0	40.0	207.0	16.0	99.0	21.0	58.0	115.0	7.0	35.0	88.0	17.0	38.0	144.0
K08138	1040.0	1035.0	1963.0	478.0	67.0	260.0	492.0	57.0	687.0	207.0	26.0	1935.0	465.0	140.0	200.0	75.0	974.0	528.0	607.0	130.0	341.0	422.0	92.0	51.0	220.0	300.0	21.0	301.0	106.0	77.0	51.0	1181.0
K02108	220338.0	214028.0	201533.0	104055.0	25800.0	206817.0	145837.0	41800.0	171462.0	36605.0	56688.0	134717.0	58462.0	39580.0	119786.0	56636.0	310123.0	52193.0	132073.0	65358.0	48045.0	113852.0	51053.0	51984.0	39267.0	125638.0	47391.0	141287.0	37639.0	39527.0	178934.0	34306.0
K02109	253668.0	311381.0	270143.0	128495.0	29712.0	245198.0	188024.0	45690.0	228880.0	43937.0	70293.0	196869.0	90535.0	42225.0	152083.0	75581.0	446425.0	75619.0	158864.0	74166.0	69978.0	135737.0	80906.0	62947.0	48133.0	193568.0	76000.0	170041.0	47531.0	55197.0	275847.0	48585.0
K02458	111861.0	110419.0	79816.0	38144.0	18173.0	99858.0	82191.0	22601.0	90601.0	10398.0	22887.0	91970.0	42791.0	15337.0	59263.0	32116.0	156748.0	31803.0	64826.0	42069.0	27528.0	62606.0	49439.0	16616.0	12459.0	61045.0	27563.0	61365.0	21609.0	21588.0	57774.0	16355.0
K02459	111485.0	109331.0	77840.0	37677.0	18134.0	99878.0	82938.0	22562.0	89819.0	10218.0	22825.0	90022.0	42286.0	15262.0	59002.0	32108.0	163402.0	31231.0	64268.0	42011.0	27220.0	62201.0	49299.0	16565.0	12195.0	60695.0	27575.0	59885.0	21507.0	21797.0	57712.0	16427.0
K08137	1115.0	1863.0	1459.0	741.0	142.0	251.0	1045.0	111.0	2278.0	78.0	68.0	399.0	155.0	134.0	433.0	308.0	1892.0	247.0	575.0	396.0	364.0	443.0	101.0	129.0	319.0	428.0	101.0	1649.0	184.0	52.0	743.0	911.0
K03851	603.0	1548.0	1327.0	684.0	87.0	116.0	3980.0	79.0	1685.0	68.0	66.0	266.0	86.0	75.0	385.0	283.0	4260.0	227.0	509.0	335.0	505.0	1481.0	57.0	121.0	252.0	446.0	4603.0	1278.0	911.0	44.0	1140.0	125.0
K03850	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K03852	13508.0	3542.0	3042.0	1026.0	266.0	70934.0	14733.0	638.0	1304.0	1223.0	8793.0	11517.0	9735.0	678.0	777.0	10746.0	60529.0	923.0	2875.0	2265.0	1369.0	4456.0	6063.0	8649.0	496.0	20387.0	7339.0	22513.0	8541.0	8036.0	22910.0	2874.0
K03855	13013.0	29532.0	18965.0	4041.0	1783.0	15637.0	3762.0	800.0	9113.0	2233.0	8907.0	42949.0	19858.0	695.0	6723.0	9015.0	1538.0	9592.0	6486.0	1446.0	9737.0	11990.0	23335.0	5068.0	1990.0	40374.0	894.0	8049.0	3119.0	1832.0	10156.0	875.0
K03856	97737.0	127958.0	99871.0	61037.0	6302.0	2272.0	4458.0	14646.0	85555.0	19517.0	2726.0	22329.0	22395.0	20510.0	62304.0	7329.0	2257.0	29450.0	44697.0	7953.0	23475.0	16737.0	6921.0	4780.0	13425.0	9217.0	828.0	4026.0	1535.0	90.0	7279.0	421.0
K13018	12042.0	3151.0	2490.0	697.0	180.0	10714.0	9256.0	509.0	856.0	261.0	4375.0	9451.0	9013.0	489.0	188.0	10265.0	3953.0	596.0	2291.0	1905.0	434.0	3739.0	5131.0	3054.0	555.0	14489.0	2040.0	16029.0	7405.0	1015.0	7696.0	3754.0
K13019	1983.0	1294.0	1410.0	505.0	43.0	879.0	3114.0	90.0	1058.0	109.0	912.0	1074.0	538.0	45.0	416.0	1113.0	1660.0	346.0	540.0	385.0	314.0	1847.0	1907.0	68.0	213.0	1818.0	274.0	1527.0	1643.0	455.0	583.0	2099.0
K13010	454.0	1009.0	1191.0	131.0	38.0	501.0	8536.0	59.0	342.0	195.0	618.0	2560.0	515.0	71.0	164.0	483.0	431.0	442.0	251.0	204.0	122.0	635.0	452.0	301.0	2125.0	629.0	173.0	667.0	303.0	134.0	662.0	182.0
K13011	158.0	98.0	283.0	31.0	10.0	254.0	48.0	17.0	46.0	54.0	168.0	978.0	90.0	5.0	48.0	331.0	128.0	83.0	56.0	38.0	39.0	56.0	197.0	86.0	40.0	74.0	74.0	422.0	65.0	7.0	90.0	13.0
K13012	16141.0	3140.0	3362.0	1278.0	241.0	67088.0	26640.0	635.0	1638.0	881.0	30910.0	35522.0	15291.0	756.0	349.0	16632.0	20598.0	880.0	2793.0	2773.0	291.0	3073.0	8693.0	20482.0	711.0	25508.0	7396.0	38250.0	11624.0	5738.0	19777.0	5570.0
K13013	12976.0	29649.0	20322.0	4872.0	1649.0	14686.0	9772.0	797.0	10358.0	2423.0	7714.0	44833.0	19662.0	778.0	5794.0	10705.0	5477.0	9567.0	6598.0	1752.0	8822.0	10124.0	23455.0	7682.0	1757.0	29543.0	2030.0	13784.0	4210.0	3352.0	10609.0	1295.0
K13014	1277.0	91.0	36.0	105.0	9.0	476.0	3235.0	23.0	111.0	21.0	8.0	696.0	119.0	50.0	7.0	282.0	797.0	15.0	529.0	84.0	3.0	15.0	114.0	24.0	121.0	131.0	28.0	348.0	270.0	123.0	78.0	1739.0
K13015	25942.0	70115.0	45683.0	22709.0	2704.0	4848.0	9325.0	3609.0	52153.0	2812.0	2018.0	13847.0	11307.0	2030.0	28150.0	3652.0	9206.0	14338.0	18666.0	7487.0	15144.0	16660.0	4438.0	1645.0	10676.0	14713.0	3857.0	8765.0	2423.0	1877.0	57331.0	12780.0
K13016	11533.0	2314.0	2202.0	638.0	154.0	8920.0	6969.0	486.0	960.0	143.0	3982.0	8531.0	8731.0	466.0	171.0	9456.0	2032.0	489.0	2175.0	1666.0	184.0	2275.0	5009.0	2920.0	356.0	14123.0	1635.0	14461.0	6406.0	404.0	7319.0	1612.0
K13017	21478.0	41419.0	18744.0	9687.0	1442.0	11170.0	10423.0	1158.0	30291.0	955.0	4889.0	10824.0	16238.0	643.0	14927.0	11762.0	4332.0	9708.0	5278.0	2920.0	7280.0	5224.0	6435.0	3112.0	1670.0	15404.0	2082.0	16174.0	7497.0	1024.0	7816.0	3791.0
K08566	340.0	24.0	11.0	1.0	2.0	123.0	287.0	1.0	4.0	3.0	1.0	40.0	53.0	31.0	3.0	32.0	592.0	7.0	5.0	24.0	0.0	3.0	23.0	10.0	13.0	10.0	3.0	131.0	60.0	42.0	15.0	684.0
K08567	5984.0	16821.0	10181.0	1828.0	352.0	57245.0	5012.0	185.0	7731.0	843.0	5274.0	2171.0	5306.0	107.0	7416.0	939.0	10532.0	5611.0	1045.0	366.0	2208.0	841.0	726.0	6747.0	867.0	1726.0	2385.0	6546.0	233.0	4891.0	8575.0	78.0
K13274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0
K13275	3.0	3.0	2.0	0.0	1.0	1.0	5.0	0.0	1.0	1.0	1.0	1.0	3.0	0.0	9.0	1.0	101.0	1.0	0.0	1.0	1.0	0.0	5.0	0.0	3.0	3.0	0.0	1.0	6.0	0.0	0.0	1.0
K13276	1.0	1.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	5.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
K13277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K03275	33.0	1.0	1.0	0.0	0.0	4.0	96.0	0.0	0.0	0.0	0.0	10.0	6.0	1.0	0.0	1.0	62.0	1.0	1.0	2.0	0.0	0.0	19.0	0.0	0.0	1.0	0.0	12.0	6.0	4.0	2.0	43.0
K03274	62274.0	124420.0	72303.0	39855.0	15223.0	26718.0	54282.0	16322.0	98982.0	8345.0	29480.0	62008.0	31463.0	11019.0	59646.0	16716.0	118453.0	31772.0	52816.0	28988.0	28134.0	46322.0	27103.0	20653.0	11736.0	31750.0	20752.0	43035.0	6598.0	13588.0	39380.0	5494.0
K03277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K03276	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
K03271	122089.0	206654.0	143674.0	62843.0	20766.0	136534.0	101696.0	22384.0	142724.0	17238.0	50702.0	126193.0	63390.0	14789.0	91655.0	40717.0	34743.0	53207.0	79262.0	40693.0	46725.0	78854.0	57869.0	38454.0	31014.0	81980.0	15291.0	101876.0	20829.0	12775.0	46916.0	13160.0
K03270	136041.0	189109.0	122791.0	64516.0	19412.0	86717.0	93929.0	27444.0	164550.0	10629.0	39055.0	56699.0	38627.0	17796.0	93180.0	30794.0	58610.0	41959.0	86841.0	50775.0	35498.0	65071.0	19386.0	28913.0	21070.0	53576.0	14934.0	86333.0	20768.0	11759.0	46761.0	18560.0
K03273	101454.0	145407.0	105002.0	50750.0	18117.0	107137.0	101608.0	20749.0	116551.0	12586.0	44093.0	99654.0	46447.0	13936.0	69096.0	38809.0	145401.0	37861.0	69741.0	36927.0	32503.0	54629.0	37650.0	31900.0	21465.0	60823.0	32117.0	87626.0	21130.0	18103.0	59963.0	14270.0
K03272	86908.0	208838.0	141621.0	54221.0	9561.0	59733.0	111588.0	9866.0	129872.0	12610.0	62458.0	128960.0	62137.0	6060.0	66291.0	37659.0	243422.0	49199.0	54668.0	19042.0	47747.0	54464.0	58963.0	39718.0	22813.0	77273.0	41659.0	87517.0	16504.0	23955.0	75988.0	7899.0
K03279	7.0	6.0	2.0	1.0	0.0	5.0	8.0	0.0	0.0	0.0	0.0	82.0	5.0	3.0	1.0	1.0	90.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	2.0	1.0	0.0	43.0	2.0	1.0	0.0	28.0
K03278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K11022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K12277	15.0	1.0	1.0	0.0	0.0	6.0	6.0	0.0	0.0	0.0	0.0	5.0	1.0	2.0	0.0	1.0	3.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	5.0	1.0	1.0	0.0	5.0
K12276	881.0	928.0	635.0	143.0	35.0	12801.0	5471.0	46.0	284.0	103.0	21088.0	9902.0	1733.0	112.0	38.0	1508.0	6551.0	182.0	135.0	165.0	77.0	544.0	233.0	12724.0	228.0	735.0	2838.0	3370.0	411.0	531.0	6616.0	996.0
K12270	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K11058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K12279	758.0	902.0	635.0	144.0	24.0	12754.0	5387.0	42.0	260.0	100.0	21087.0	9885.0	1733.0	112.0	38.0	1496.0	6556.0	181.0	136.0	151.0	74.0	338.0	232.0	12718.0	285.0	735.0	2837.0	3352.0	408.0	531.0	6616.0	997.0
K12278	881.0	928.0	635.0	143.0	35.0	12801.0	5471.0	46.0	284.0	103.0	21088.0	9902.0	1733.0	112.0	38.0	1508.0	6551.0	182.0	135.0	165.0	77.0	544.0	233.0	12724.0	228.0	735.0	2838.0	3370.0	411.0	531.0	6616.0	996.0
K07557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K07550	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K07552	187465.0	171467.0	149084.0	61349.0	23153.0	444529.0	261794.0	29439.0	125754.0	27388.0	92026.0	225907.0	97328.0	21261.0	84846.0	102752.0	461630.0	44559.0	95521.0	66786.0	41763.0	96888.0	92709.0	79656.0	35911.0	244274.0	80335.0	282112.0	74540.0	69743.0	359992.0	79435.0
K06319	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K09909	644.0	237.0	178.0	73.0	4.0	174.0	1328.0	3.0	23.0	33.0	33.0	166.0	68.0	45.0	14.0	49.0	8124.0	65.0	11.0	34.0	27.0	63.0	29.0	17.0	178.0	29.0	298.0	333.0	78.0	327.0	21.0	882.0
